"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","HRWKD","TOT","HR_WKD","A","2009",2174,
"KOR","HRWKD","TOT","HR_WKD","A","2010",2163,
"KOR","HRWKD","TOT","HR_WKD","A","2011",2133,
"KOR","HRWKD","TOT","HR_WKD","A","2012",2109,
"KOR","HRWKD","TOT","HR_WKD","A","2013",2100,
"KOR","HRWKD","TOT","HR_WKD","A","2014",2075,
"KOR","HRWKD","TOT","HR_WKD","A","2015",2082,
"LUX","HRWKD","TOT","HR_WKD","A","2000",1602,
"LUX","HRWKD","TOT","HR_WKD","A","2001",1586,
"LUX","HRWKD","TOT","HR_WKD","A","2002",1581,
"LUX","HRWKD","TOT","HR_WKD","A","2003",1579,
"LUX","HRWKD","TOT","HR_WKD","A","2004",1578,
"LUX","HRWKD","TOT","HR_WKD","A","2005",1550,
"LUX","HRWKD","TOT","HR_WKD","A","2006",1552,
"LUX","HRWKD","TOT","HR_WKD","A","2007",1566,
"LUX","HRWKD","TOT","HR_WKD","A","2008",1567,
"LUX","HRWKD","TOT","HR_WKD","A","2009",1516,
"LUX","HRWKD","TOT","HR_WKD","A","2010",1517,
"LUX","HRWKD","TOT","HR_WKD","A","2011",1515,
"LUX","HRWKD","TOT","HR_WKD","A","2012",1508,
"LUX","HRWKD","TOT","HR_WKD","A","2013",1501,
"LUX","HRWKD","TOT","HR_WKD","A","2014",1508,
"LUX","HRWKD","TOT","HR_WKD","A","2015",1515,
"MEX","HRWKD","TOT","HR_WKD","A","2000",2311,
"MEX","HRWKD","TOT","HR_WKD","A","2001",2285,
"MEX","HRWKD","TOT","HR_WKD","A","2002",2271,
"MEX","HRWKD","TOT","HR_WKD","A","2003",2277,
"MEX","HRWKD","TOT","HR_WKD","A","2004",2271,
"MEX","HRWKD","TOT","HR_WKD","A","2005",2290,
"MEX","HRWKD","TOT","HR_WKD","A","2006",2278,
"MEX","HRWKD","TOT","HR_WKD","A","2007",2260,
"MEX","HRWKD","TOT","HR_WKD","A","2008",2264,
"MEX","HRWKD","TOT","HR_WKD","A","2009",2255,
"MEX","HRWKD","TOT","HR_WKD","A","2010",2254,
"MEX","HRWKD","TOT","HR_WKD","A","2011",2248,
"MEX","HRWKD","TOT","HR_WKD","A","2012",2239,
"MEX","HRWKD","TOT","HR_WKD","A","2013",2244,
"MEX","HRWKD","TOT","HR_WKD","A","2014",2242,
"MEX","HRWKD","TOT","HR_WKD","A","2015",2248,
"NLD","HRWKD","TOT","HR_WKD","A","2000",1462,
"NLD","HRWKD","TOT","HR_WKD","A","2001",1452,
"NLD","HRWKD","TOT","HR_WKD","A","2002",1435,
"NLD","HRWKD","TOT","HR_WKD","A","2003",1427,
"NLD","HRWKD","TOT","HR_WKD","A","2004",1448,
"NLD","HRWKD","TOT","HR_WKD","A","2005",1434,
"NLD","HRWKD","TOT","HR_WKD","A","2006",1430,
"NLD","HRWKD","TOT","HR_WKD","A","2007",1430,
"NLD","HRWKD","TOT","HR_WKD","A","2008",1430,
"NLD","HRWKD","TOT","HR_WKD","A","2009",1422,
"NLD","HRWKD","TOT","HR_WKD","A","2010",1421,
"NLD","HRWKD","TOT","HR_WKD","A","2011",1422,
"NLD","HRWKD","TOT","HR_WKD","A","2012",1413,
"NLD","HRWKD","TOT","HR_WKD","A","2013",1418,
"NLD","HRWKD","TOT","HR_WKD","A","2014",1429,
"NLD","HRWKD","TOT","HR_WKD","A","2015",1422,
"NZL","HRWKD","TOT","HR_WKD","A","2000",1836,
"NZL","HRWKD","TOT","HR_WKD","A","2001",1825,
"NZL","HRWKD","TOT","HR_WKD","A","2002",1826,
"NZL","HRWKD","TOT","HR_WKD","A","2003",1823,
"NZL","HRWKD","TOT","HR_WKD","A","2004",1830,
"NZL","HRWKD","TOT","HR_WKD","A","2005",1815,
"NZL","HRWKD","TOT","HR_WKD","A","2006",1795,
"NZL","HRWKD","TOT","HR_WKD","A","2007",1774,
"NZL","HRWKD","TOT","HR_WKD","A","2008",1761,
"NZL","HRWKD","TOT","HR_WKD","A","2009",1740,
"NZL","HRWKD","TOT","HR_WKD","A","2010",1755,
"NZL","HRWKD","TOT","HR_WKD","A","2011",1746,
"NZL","HRWKD","TOT","HR_WKD","A","2012",1734,
"NZL","HRWKD","TOT","HR_WKD","A","2013",1752,
"NZL","HRWKD","TOT","HR_WKD","A","2014",1762,
"NZL","HRWKD","TOT","HR_WKD","A","2015",1757,
"NOR","HRWKD","TOT","HR_WKD","A","2000",1455,
"NOR","HRWKD","TOT","HR_WKD","A","2001",1429,
"NOR","HRWKD","TOT","HR_WKD","A","2002",1414,
"NOR","HRWKD","TOT","HR_WKD","A","2003",1401,
"NOR","HRWKD","TOT","HR_WKD","A","2004",1421,
"NOR","HRWKD","TOT","HR_WKD","A","2005",1423,
"NOR","HRWKD","TOT","HR_WKD","A","2006",1420,
"NOR","HRWKD","TOT","HR_WKD","A","2007",1426,
"NOR","HRWKD","TOT","HR_WKD","A","2008",1430,
"NOR","HRWKD","TOT","HR_WKD","A","2009",1407,
"NOR","HRWKD","TOT","HR_WKD","A","2010",1415,
"NOR","HRWKD","TOT","HR_WKD","A","2011",1421,
"NOR","HRWKD","TOT","HR_WKD","A","2012",1420,
"NOR","HRWKD","TOT","HR_WKD","A","2013",1408,
"NOR","HRWKD","TOT","HR_WKD","A","2014",1427,
"NOR","HRWKD","TOT","HR_WKD","A","2015",1424,
"POL","HRWKD","TOT","HR_WKD","A","2000",1988,
"POL","HRWKD","TOT","HR_WKD","A","2001",1974,
"POL","HRWKD","TOT","HR_WKD","A","2002",1979,
"POL","HRWKD","TOT","HR_WKD","A","2003",1984,
"POL","HRWKD","TOT","HR_WKD","A","2004",1983,
"POL","HRWKD","TOT","HR_WKD","A","2005",1994,
"POL","HRWKD","TOT","HR_WKD","A","2006",1985,
"POL","HRWKD","TOT","HR_WKD","A","2007",1976,
"POL","HRWKD","TOT","HR_WKD","A","2008",1969,
"POL","HRWKD","TOT","HR_WKD","A","2009",1948,
"POL","HRWKD","TOT","HR_WKD","A","2010",1940,
"POL","HRWKD","TOT","HR_WKD","A","2011",1938,
"POL","HRWKD","TOT","HR_WKD","A","2012",1929,
"POL","HRWKD","TOT","HR_WKD","A","2013",1918,
"POL","HRWKD","TOT","HR_WKD","A","2014",1923,
"POL","HRWKD","TOT","HR_WKD","A","2015",1963,
"PRT","HRWKD","TOT","HR_WKD","A","2000",1917,
"PRT","HRWKD","TOT","HR_WKD","A","2001",1900,
"PRT","HRWKD","TOT","HR_WKD","A","2002",1894,
"PRT","HRWKD","TOT","HR_WKD","A","2003",1887,
"PRT","HRWKD","TOT","HR_WKD","A","2004",1893,
"PRT","HRWKD","TOT","HR_WKD","A","2005",1895,
"PRT","HRWKD","TOT","HR_WKD","A","2006",1883,
"PRT","HRWKD","TOT","HR_WKD","A","2007",1900,
"PRT","HRWKD","TOT","HR_WKD","A","2008",1887,
"PRT","HRWKD","TOT","HR_WKD","A","2009",1887,
"PRT","HRWKD","TOT","HR_WKD","A","2010",1890,
"PRT","HRWKD","TOT","HR_WKD","A","2011",1867,
"PRT","HRWKD","TOT","HR_WKD","A","2012",1849,
"PRT","HRWKD","TOT","HR_WKD","A","2013",1859,
"PRT","HRWKD","TOT","HR_WKD","A","2014",1867,
"PRT","HRWKD","TOT","HR_WKD","A","2015",1869,
"SVK","HRWKD","TOT","HR_WKD","A","2000",1816,
"SVK","HRWKD","TOT","HR_WKD","A","2001",1801,
"SVK","HRWKD","TOT","HR_WKD","A","2002",1754,
"SVK","HRWKD","TOT","HR_WKD","A","2003",1698,
"SVK","HRWKD","TOT","HR_WKD","A","2004",1742,
"SVK","HRWKD","TOT","HR_WKD","A","2005",1769,
"SVK","HRWKD","TOT","HR_WKD","A","2006",1774,
"SVK","HRWKD","TOT","HR_WKD","A","2007",1791,
"SVK","HRWKD","TOT","HR_WKD","A","2008",1793,
"SVK","HRWKD","TOT","HR_WKD","A","2009",1780,
"SVK","HRWKD","TOT","HR_WKD","A","2010",1805,
"SVK","HRWKD","TOT","HR_WKD","A","2011",1793,
"SVK","HRWKD","TOT","HR_WKD","A","2012",1789,
"SVK","HRWKD","TOT","HR_WKD","A","2013",1772,
"SVK","HRWKD","TOT","HR_WKD","A","2014",1760,
"SVK","HRWKD","TOT","HR_WKD","A","2015",1754,
"ESP","HRWKD","TOT","HR_WKD","A","2000",1753,
"ESP","HRWKD","TOT","HR_WKD","A","2001",1763,
"ESP","HRWKD","TOT","HR_WKD","A","2002",1765,
"ESP","HRWKD","TOT","HR_WKD","A","2003",1756,
"ESP","HRWKD","TOT","HR_WKD","A","2004",1742,
"ESP","HRWKD","TOT","HR_WKD","A","2005",1726,
"ESP","HRWKD","TOT","HR_WKD","A","2006",1716,
"ESP","HRWKD","TOT","HR_WKD","A","2007",1704,
"ESP","HRWKD","TOT","HR_WKD","A","2008",1713,
"ESP","HRWKD","TOT","HR_WKD","A","2009",1720,
"ESP","HRWKD","TOT","HR_WKD","A","2010",1710,
"ESP","HRWKD","TOT","HR_WKD","A","2011",1716,
"ESP","HRWKD","TOT","HR_WKD","A","2012",1701,
"ESP","HRWKD","TOT","HR_WKD","A","2013",1694,
"ESP","HRWKD","TOT","HR_WKD","A","2014",1697,
"ESP","HRWKD","TOT","HR_WKD","A","2015",1701,
"SWE","HRWKD","TOT","HR_WKD","A","2000",1642,
"SWE","HRWKD","TOT","HR_WKD","A","2001",1618,
"SWE","HRWKD","TOT","HR_WKD","A","2002",1595,
"SWE","HRWKD","TOT","HR_WKD","A","2003",1582,
"SWE","HRWKD","TOT","HR_WKD","A","2004",1605,
"SWE","HRWKD","TOT","HR_WKD","A","2005",1605,
"SWE","HRWKD","TOT","HR_WKD","A","2006",1599,
"SWE","HRWKD","TOT","HR_WKD","A","2007",1612,
"SWE","HRWKD","TOT","HR_WKD","A","2008",1617,
"SWE","HRWKD","TOT","HR_WKD","A","2009",1609,
"SWE","HRWKD","TOT","HR_WKD","A","2010",1635,
"SWE","HRWKD","TOT","HR_WKD","A","2011",1632,
"SWE","HRWKD","TOT","HR_WKD","A","2012",1618,
"SWE","HRWKD","TOT","HR_WKD","A","2013",1609,
"SWE","HRWKD","TOT","HR_WKD","A","2014",1609,
"SWE","HRWKD","TOT","HR_WKD","A","2015",1611,
"CHE","HRWKD","TOT","HR_WKD","A","2000",1674,
"CHE","HRWKD","TOT","HR_WKD","A","2001",1635,
"CHE","HRWKD","TOT","HR_WKD","A","2002",1614,
"CHE","HRWKD","TOT","HR_WKD","A","2003",1627,
"CHE","HRWKD","TOT","HR_WKD","A","2004",1657,
"CHE","HRWKD","TOT","HR_WKD","A","2005",1652,
"CHE","HRWKD","TOT","HR_WKD","A","2006",1643,
"CHE","HRWKD","TOT","HR_WKD","A","2007",1633,
"CHE","HRWKD","TOT","HR_WKD","A","2008",1623,
"CHE","HRWKD","TOT","HR_WKD","A","2009",1615,
"CHE","HRWKD","TOT","HR_WKD","A","2010",1612,
"CHE","HRWKD","TOT","HR_WKD","A","2011",1605,
"CHE","HRWKD","TOT","HR_WKD","A","2012",1591,
"CHE","HRWKD","TOT","HR_WKD","A","2013",1573,
"CHE","HRWKD","TOT","HR_WKD","A","2014",1568,
"CHE","HRWKD","TOT","HR_WKD","A","2015",1590,
"TUR","HRWKD","TOT","HR_WKD","A","2000",1937,
"TUR","HRWKD","TOT","HR_WKD","A","2001",1942,
"TUR","HRWKD","TOT","HR_WKD","A","2002",1943,
"TUR","HRWKD","TOT","HR_WKD","A","2003",1943,
"TUR","HRWKD","TOT","HR_WKD","A","2004",1918,
"TUR","HRWKD","TOT","HR_WKD","A","2005",1936,
"TUR","HRWKD","TOT","HR_WKD","A","2006",1944,
"TUR","HRWKD","TOT","HR_WKD","A","2007",1911,
"TUR","HRWKD","TOT","HR_WKD","A","2008",1900,
"TUR","HRWKD","TOT","HR_WKD","A","2009",1881,
"TUR","HRWKD","TOT","HR_WKD","A","2010",1877,
"TUR","HRWKD","TOT","HR_WKD","A","2011",1864,
"TUR","HRWKD","TOT","HR_WKD","A","2012",1855,
"TUR","HRWKD","TOT","HR_WKD","A","2013",1832,
"GBR","HRWKD","TOT","HR_WKD","A","2000",1700,
"GBR","HRWKD","TOT","HR_WKD","A","2001",1705,
